class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.11510891,0.077076845,-0.10918398,-0.11520794,0.07706805,-0.109251365,-0.11499641,0.077150166,-0.1091343,-0.11525495,0.077107914,-0.10931745
-0.11511819,0.07707707,-0.10923222,-0.115145005,0.07709572,-0.109237544,-0.11516952,0.077082105,-0.109225616,-0.115152925,0.07714715,-0.10923589
-0.11514513,0.07708627,-0.109252095,-0.11516086,0.07707994,-0.10924866,-0.11496859,0.07700609,-0.10916416,-0.115152925,0.077118285,-0.10922023
-0.11521547,0.07702132,-0.10929229,-0.11505668,0.077067316,-0.10923036,-0.1151476,0.07712036,-0.10927918,-0.115134135,0.07714769,-0.10921211
-0.115085654,0.076921836,-0.10921003,-0.115037166,0.076917835,-0.109252885,-0.115167655,0.07701163,-0.10927638,-0.11505566,0.07694393,-0.10922261
-0.11515888,0.077107154,-0.10925549,-0.11513699,0.07711205,-0.109213464,-0.11514696,0.07711834,-0.10921089,-0.115142494,0.07700123,-0.10926242
-0.11500382,0.07712888,-0.10915322,-0.115145944,0.077121906,-0.10927406,-0.115002185,0.077090845,-0.10915287,-0.11499985,0.07715442,-0.1091207
-0.11523079,0.077039525,-0.109307714,-0.11515555,0.07709664,-0.109250575,-0.11523347,0.07705499,-0.10931031,-0.11525178,0.07703601,-0.109312996
-0.11507213,0.07703471,-0.10921587,-0.11508106,0.07704081,-0.10921546,-0.11492996,0.07706436,-0.10920872,-0.115123674,0.077165045,-0.109239966
-0.11522036,0.07702031,-0.109279,-0.115200795,0.07707973,-0.109266624,-0.11520023,0.077137604,-0.10929908,-0.114922285,0.07704784,-0.10917127
-0.11522762,0.077060014,-0.10930858,-0.11495867,0.07706763,-0.109133035,-0.11512484,0.0770877,-0.10921827,-0.11502533,0.07714562,-0.10913006
-0.11515522,0.07708687,-0.10925648,-0.11511089,0.07705541,-0.10921485,-0.11511627,0.07707893,-0.10919951,-0.11514539,0.077082716,-0.109261684
-0.11522527,0.07703326,-0.10926717,-0.115149856,0.07702324,-0.109228194,-0.11516528,0.07713078,-0.10922729,-0.115084425,0.076817036,-0.109180905
-0.115021214,0.076953664,-0.1092372,-0.11500025,0.07697212,-0.1092296,-0.11521781,0.07706973,-0.109253034,-0.1150449,0.07689152,-0.109257884
-0.115011044,0.0770572,-0.1092306,-0.1151638,0.07708575,-0.10927119,-0.11510962,0.07698944,-0.10919466,-0.114974275,0.077074446,-0.10911194
-0.1150045,0.077058695,-0.10913117,-0.114966854,0.077123456,-0.10913144,-0.1151913,0.07704043,-0.10924725,-0.11516126,0.07710348,-0.1092249
-0.1150513,0.077157415,-0.10915084,-0.11500389,0.076952025,-0.1092357,-0.115046754,0.07710725,-0.109214276,-0.11512989,0.07715351,-0.10920546
-0.11498801,0.07706936,-0.10914105,-0.1151459,0.07713309,-0.10922266,-0.11511651,0.077022724,-0.10921584,-0.11501307,0.07696019,-0.10919141
-0.115097746,0.07711561,-0.10916545,-0.11518528,0.07706245,-0.10928062,-0.11511259,0.07684729,-0.109185345,-0.11518824,0.07705199,-0.109279454
-0.11520998,0.07706316,-0.109262824,-0.11505937,0.07693214,-0.10925702,-0.11507031,0.07692069,-0.10923578,-0.11513216,0.07710781,-0.10919855
-0.11516071,0.07712113,-0.10924617,-0.11524198,0.0770447,-0.10927851,-0.114977196,0.07703977,-0.109140486,-0.114973396,0.07707735,-0.10914704
-0.11512995,0.077065565,-0.10920843,-0.11520368,0.07705395,-0.10925862,-0.11518336,0.077069364,-0.10926343,-0.11506325,0.076824985,-0.109219775
-0.11515461,0.07709197,-0.10925063,-0.11513208,0.077069454,-0.10924902,-0.11510596,0.07692158,-0.109201886,-0.11510299,0.076903366,-0.1091991
-0.11500171,0.07701283,-0.10922557,-0.11498741,0.07699783,-0.109184235,-0.11499545,0.0770511,-0.10913887,-0.11506442,0.07704165,-0.10915632
-0.11515607,0.077119306,-0.10922586,-0.11498137,0.077040575,-0.1092123,-0.11492626,0.07708753,-0.109220795,-0.11521262,0.077104814,-0.109269276
-0.11510295,0.07702539,-0.10922386,-0.114984125,0.07705558,-0.10921092,-0.11521549,0.07698077,-0.10924806,-0.114990644,0.07715365,-0.1091236
-0.11514205,0.077075645,-0.109263904,-0.11508439,0.07691029,-0.10921166,-0.11513748,0.07701249,-0.109240875,-0.115186654,0.07703016,-0.10923941
-0.11511568,0.07709632,-0.109179616,-0.11514929,0.077083945,-0.10924891,-0.115030915,0.07714747,-0.10914412,-0.1151497,0.077172294,-0.109275766
-0.11514298,0.07712671,-0.109225556,-0.11505881,0.07692769,-0.109212145,-0.115079954,0.0768604,-0.109224096,-0.115007564,0.07693142,-0.109260835
-0.114990115,0.07700602,-0.10916686,-0.11513217,0.07710473,-0.109209485,-0.115135305,0.07701117,-0.10923085,-0.115134284,0.07711781,-0.10920428
-0.11523078,0.077084176,-0.10926086,-0.115058854,0.07714819,-0.109153084,-0.11512819,0.077007174,-0.10922728,-0.11514798,0.07706888,-0.109250516
-0.11514279,0.07709129,-0.10920853,-0.11494655,0.07707212,-0.10911177,-0.11497094,0.07699135,-0.10916153,-0.11496096,0.07701017,-0.10912518
-0.11510008,0.077112615,-0.1091826,-0.11513891,0.07711608,-0.10923618,-0.115193166,0.07713765,-0.10928503,-0.11515543,0.077048264,-0.109255515
-0.11502981,0.07714446,-0.109137006,-0.11524157,0.07704614,-0.10930495,-0.11501183,0.0770297,-0.10924486,-0.11515066,0.0770268,-0.10924897
-0.11498067,0.07700119,-0.10920599,-0.11524121,0.07708789,-0.10925909,-0.11503949,0.07694505,-0.10922198,-0.11496989,0.07707822,-0.109216206
-0.11507359,0.07692868,-0.10922412,-0.11520825,0.07705381,-0.10926205,-0.1150581,0.077135585,-0.10915971,-0.11502425,0.0770384,-0.109164
-0.11523419,0.07708702,-0.10929464,-0.11513483,0.07713545,-0.10921071,-0.1151031,0.077181906,-0.10925268,-0.11524464,0.07706127,-0.10931585
-0.11522258,0.07704833,-0.10931736,-0.115077175,0.076906644,-0.109189704,-0.115184344,0.07706639,-0.10924754,-0.11495598,0.07707064,-0.109193206
-0.1150104,0.077138625,-0.10914409,-0.115020834,0.07695978,-0.10923292,-0.115022115,0.07700115,-0.10923634,-0.115064085,0.077044964,-0.109212376
-0.11503195,0.07695287,-0.10922904,-0.11499158,0.077037945,-0.109120056,-0.115023196,0.07713206,-0.109136716,-0.114971586,0.07706129,-0.10914181
-0.11508883,0.07712375,-0.109168254,-0.115093775,0.07702904,-0.10921715,-0.11510552,0.077119775,-0.109249376,-0.115065716,0.07699288,-0.10923267
-0.11500356,0.07706489,-0.10913504,-0.11515394,0.07709611,-0.1092489,-0.11521088,0.07713349,-0.10926282,-0.11511785,0.077016085,-0.10921529
-0.11502987,0.077010185,-0.1092357,-0.1151742,0.07703563,-0.109253444,-0.11512018,0.07714014,-0.10923113,-0.11524443,0.07711443,-0.10932812
-0.11511881,0.07702045,-0.1092155,-0.1149863,0.07714851,-0.10913369,-0.1152222,0.07703262,-0.10932351,-0.11495592,0.07702513,-0.10911183
-0.1149675,0.07701017,-0.10916273,-0.115060166,0.07695334,-0.109223634,-0.115116045,0.07708949,-0.10926242,-0.11496355,0.07707625,-0.10918445
-0.11523682,0.07702911,-0.109282814,-0.11500876,0.077061884,-0.10915744,-0.11519644,0.07709512,-0.109252535,-0.11510484,0.07689245,-0.109178334
-0.115040705,0.0769463,-0.109248586,-0.115128346,0.07716339,-0.10923431,-0.11516998,0.077083364,-0.10922073,-0.11514771,0.07714748,-0.10925266
-0.115081005,0.076941274,-0.10924001,-0.115238585,0.07703628,-0.10928293,-0.11519813,0.07702996,-0.109247014,-0.11523171,0.07705517,-0.10927261
-0.115192294,0.077064104,-0.109253146,-0.115140766,0.07711737,-0.10923888,-0.11495282,0.07704689,-0.10923813,-0.11512801,0.07714392,-0.10924941
-0.11498424,0.07710165,-0.109135665,-0.11520492,0.07703588,-0.1092616,-0.1152389,0.07713015,-0.1092996,-0.11501374,0.07716209,-0.109114856
-0.11506753,0.07692844,-0.109214604,-0.11515549,0.0770783,-0.109230906,-0.11503333,0.07713808,-0.10914888,-0.11505969,0.07691674,-0.109227985
-0.115219876,0.077074334,-0.10930097,-0.11515409,0.077110216,-0.1092567,-0.11499949,0.077061206,-0.10913598,-0.11507368,0.0768632,-0.10924513
-0.11515685,0.077094235,-0.109259605,-0.11518174,0.07703779,-0.10925777,-0.115113646,0.07702886,-0.109229766,-0.11495817,0.07710859,-0.109137975
-0.11513336,0.07702594,-0.10923683,-0.114992596,0.076972164,-0.109224804,-0.11526747,0.07704976,-0.109311424,-0.115100615,0.07700692,-0.10919464
-0.114992574,0.07709571,-0.10914645,-0.11495748,0.07704753,-0.10908878,-0.115165286,0.07714008,-0.109223306,-0.11520175,0.07706371,-0.10929595
-0.115089096,0.0769411,-0.10923678,-0.11505053,0.077154666,-0.10915846,-0.11516062,0.07709692,-0.10921651,-0.1150177,0.07694448,-0.109222695
-0.11515786,0.077119015,-0.109211944,-0.115229115,0.07702056,-0.109260745,-0.11512835,0.077149846,-0.10927579,-0.11513119,0.07709283,-0.10927172
-0.11516202,0.07708193,-0.10926065,-0.115159236,0.07708327,-0.10926156,-0.115114905,0.0770896,-0.109191775,-0.11499091,0.07703002,-0.10912995
-0.11505387,0.07704055,-0.109215476,-0.11524058,0.077039555,-0.109287396,-0.11508018,0.076922156,-0.10923488,-0.11516428,0.07709905,-0.109224156
-0.114984855,0.077067286,-0.1091311,-0.11516081,0.07710991,-0.10925835,-0.11495824,0.07708408,-0.10915222,-0.115151696,0.07707919,-0.10925718
-0.11518549,0.07704238,-0.10923984,-0.11506106,0.07688306,-0.10921296,-0.11498951,0.07703892,-0.109250195,-0.11516355,0.077091485,-0.109220475
-0.1151558,0.077122174,-0.10920355,-0.11514449,0.077137075,-0.1092249,-0.114985086,0.077047065,-0.109248504,-0.11514376,0.07707701,-0.10924507
-0.115004376,0.0770489,-0.10921836,-0.115201674,0.07707961,-0.10924855,-0.11499067,0.07706051,-0.10913335,-0.11513694,0.077138804,-0.10919387
-0.11511737,0.07708354,-0.10922742,-0.11507972,0.077137485,-0.10916105,-0.11501152,0.07702102,-0.10915722,-0.115150236,0.077117495,-0.109221615
-0.11522443,0.077083595,-0.10926556,-0.11506528,0.07692407,-0.10924339,-0.115083806,0.07694214,-0.10923521,-0.11515691,0.07708098,-0.109253675
-0.11508993,0.077137455,-0.10916244,-0.11503223,0.077156626,-0.10914521,-0.11517476,0.07703662,-0.109261736,-0.11504525,0.07701686,-0.109145254
-0.115212075,0.077067375,-0.10924802,-0.11503552,0.07705318,-0.10917995,-0.11504233,0.07698244,-0.10927166,-0.11509592,0.077091396,-0.10917803
-0.115151405,0.077116534,-0.10921585,-0.11507945,0.07695578,-0.10922516,-0.11514617,0.07718073,-0.109290816,-0.11525674,0.07704044,-0.10930305
-0.115106806,0.07702948,-0.10921589,-0.1150724,0.077126004,-0.10915257,-0.11521708,0.07699026,-0.10926417,-0.11491396,0.07707148,-0.109127745
-0.11516375,0.07706501,-0.10923742,-0.11502209,0.07700752,-0.10923478,-0.11513716,0.0771382,-0.109203644,-0.11510132,0.07703704,-0.10921806
-0.1150879,0.07714301,-0.10915113,-0.11500042,0.07696833,-0.1092192,-0.114986524,0.077059604,-0.10914176,-0.11519226,0.0770895,-0.10926011
-0.11515727,0.077128515,-0.10922208,-0.11512172,0.07702424,-0.10922832,-0.11507775,0.07701775,-0.109189965,-0.11523955,0.07712698,-0.109296754
-0.11499954,0.07707161,-0.10915412,-0.11521774,0.07703634,-0.10926545,-0.114983775,0.07713609,-0.1091305,-0.11495939,0.077045225,-0.10913724
-0.11518582,0.07702606,-0.10924503,-0.115174524,0.07710743,-0.10926162,-0.11509174,0.07703427,-0.10923014,-0.115142,0.077084675,-0.10924029
-0.11502853,0.07696113,-0.10923214,-0.115149856,0.07702311,-0.10924725,-0.11524619,0.07710615,-0.10932519,-0.115137964,0.077103205,-0.10926753
-0.11507218,0.07703423,-0.10920597,-0.11513079,0.07706812,-0.109243795,-0.11512206,0.07707082,-0.10922003,-0.11506818,0.07692584,-0.10922731
-0.11515175,0.07706733,-0.109247774,-0.11508294,0.077077545,-0.10919946,-0.115005486,0.07705609,-0.109255925,-0.11524522,0.07709124,-0.109316625
-0.1151496,0.077132046,-0.10920343,-0.11504426,0.07715899,-0.109123595,-0.11494082,0.077025145,-0.10915962,-0.11505964,0.077106,-0.109204575
-0.11512879,0.07707847,-0.10924122,-0.11509119,0.07711839,-0.10917365,-0.11513739,0.07710988,-0.10919303,-0.11523032,0.07710603,-0.10932669
-0.115161195,0.07709926,-0.10924098,-0.11504444,0.0768797,-0.109208815,-0.11495662,0.07700872,-0.10915273,-0.1151726,0.07712334,-0.10928726
-0.11522182,0.0770857,-0.10928588,-0.115016915,0.076973476,-0.10922617,-0.11492259,0.0770539,-0.10917994,-0.11502468,0.07708488,-0.10920656
-0.11497035,0.07699973,-0.10918171,-0.11505037,0.077075034,-0.10920945,-0.11523059,0.07708126,-0.1092842,-0.11515816,0.07716312,-0.109286815
-0.11514957,0.077079035,-0.1092655,-0.11498449,0.077023655,-0.10915808,-0.115199424,0.077129565,-0.10930653,-0.11504441,0.07714209,-0.10913635
-0.115215555,0.077062376,-0.10927003,-0.11510694,0.07702352,-0.10920935,-0.11506345,0.07704598,-0.10921472,-0.11512249,0.07707961,-0.10928376
-0.11515155,0.077077106,-0.1092721,-0.11499163,0.07713903,-0.109135926,-0.11499568,0.07705619,-0.10917494,-0.11510136,0.07685399,-0.10920615
-0.11497025,0.07701275,-0.10917658,-0.11506533,0.07692564,-0.109207004,-0.11508972,0.077121794,-0.10917728,-0.11497131,0.07706636,-0.1091442
-0.115151845,0.077143714,-0.10923265,-0.115090035,0.07709115,-0.109182544,-0.115011126,0.07706945,-0.10919669,-0.115134634,0.07701539,-0.109226756
-0.11505533,0.0771511,-0.1091559,-0.11504548,0.07693424,-0.109239995,-0.11496924,0.076994546,-0.10916903,-0.11509001,0.0769528,-0.10918752
-0.11511463,0.07709163,-0.10922067,-0.1152416,0.07707771,-0.10926256,-0.115153365,0.07703222,-0.10924129,-0.11513452,0.077169865,-0.10927935
-0.11499014,0.076972134,-0.10920061,-0.11500002,0.076964945,-0.10922655,-0.11516211,0.0770963,-0.10921261,-0.11505304,0.076932415,-0.10926966
-0.115007445,0.07707075,-0.109190255,-0.11517087,0.077106886,-0.10927135,-0.115049385,0.077140994,-0.10912479,-0.11495105,0.077022865,-0.10914377
-0.115045175,0.07694347,-0.10923334,-0.114994936,0.07708731,-0.10917544,-0.11500089,0.07702497,-0.10913826,-0.11500034,0.07704488,-0.109220535
-0.115015544,0.077001795,-0.10922635,-0.11509095,0.077126056,-0.10915144,-0.114964925,0.077007025,-0.10915244,-0.11500067,0.07715836,-0.10911676
-0.11512814,0.07707266,-0.10921811,-0.115104236,0.07709785,-0.10916514,-0.11515475,0.07709046,-0.10923845,-0.11514121,0.077101775,-0.109231666
-0.11503082,0.07695617,-0.10923739,-0.114979416,0.07703619,-0.10912089,-0.11497008,0.07701391,-0.10912798,-0.11506793,0.07691774,-0.10923303
-0.11497617,0.07700234,-0.10917029,-0.11514142,0.07712907,-0.10923489,-0.11521172,0.07703088,-0.10925963,-0.11504523,0.077135295,-0.10915558
-0.11509484,0.0771201,-0.10916544,-0.11512598,0.077089064,-0.10927089,-0.11519318,0.07705038,-0.10924286,-0.11518612,0.07707087,-0.10925818
-0.1151589,0.077094115,-0.10925919,-0.11503731,0.07691703,-0.109252706,-0.11519985,0.077035815,-0.10923751,-0.11506473,0.077099375,-0.10923043
-0.11499194,0.07699323,-0.10921904,-0.11502937,0.0770569,-0.109170355,-0.115152895,0.07715043,-0.10923572,-0.11525035,0.07705764,-0.10931264
-0.11509362,0.07693545,-0.10922072,-0.11514183,0.077147104,-0.10923771,-0.115165696,0.077068,-0.1092466,-0.115259744,0.077007435,-0.10928326
-0.114987865,0.07706684,-0.10918478,-0.11507988,0.07703908,-0.10920838,-0.11497146,0.07700592,-0.109125875,-0.11509496,0.07709374,-0.10926142
-0.11515623,0.07713194,-0.10921627,-0.11507949,0.0769312,-0.10921825,-0.11503582,0.076988064,-0.109235585,-0.11511547,0.07698902,-0.109234415
-0.1150058,0.07704389,-0.109169304,-0.11496674,0.077066906,-0.109140895,-0.115001306,0.07705559,-0.10914337,-0.11510203,0.07691775,-0.10917107
-0.11518125,0.07709252,-0.10924792,-0.11502625,0.07697425,-0.10926448,-0.115045555,0.077050805,-0.10920805,-0.11523545,0.07706901,-0.109326266
-0.115047835,0.076931715,-0.10923285,-0.11513672,0.07711813,-0.10919672,-0.11511342,0.076888256,-0.10918735,-0.11525437,0.07707579,-0.109297946
-0.11512446,0.07710721,-0.10925198,-0.11499137,0.07703216,-0.1092476,-0.11513481,0.07707322,-0.10925752,-0.11510169,0.07690556,-0.10917425
-0.11513725,0.07707876,-0.1092606,-0.11498062,0.07707195,-0.10918283,-0.11526349,0.07706198,-0.109319404,-0.11511074,0.077096246,-0.1092786
-0.114991754,0.07706661,-0.10918008,-0.11519651,0.07705177,-0.10925446,-0.114993654,0.07700145,-0.10925787,-0.115153335,0.07714057,-0.10921944
-0.11513198,0.07708721,-0.109205075,-0.115138866,0.07709741,-0.10927095,-0.115192644,0.077101246,-0.109251715,-0.115156956,0.077080674,-0.1092621
-0.11517935,0.07704513,-0.109248616,-0.11518941,0.07708323,-0.10926784,-0.11506084,0.0769482,-0.109224245,-0.115031116,0.0768975,-0.10927555
-0.115226425,0.07700884,-0.10926476,-0.11516985,0.07708393,-0.109276116,-0.11500312,0.07709632,-0.109150186,-0.1151226,0.077160776,-0.10922557
-0.1150247,0.07696961,-0.10924934,-0.11514044,0.07707264,-0.10925046,-0.115239784,0.077013515,-0.10924795,-0.115133636,0.077127926,-0.10927379
-0.11512427,0.07707901,-0.10923242,-0.11513744,0.07714617,-0.10921411,-0.11502918,0.077010505,-0.10915505,-0.11497533,0.07708379,-0.10919731
-0.1152252,0.07702785,-0.10926065,-0.11498743,0.07697212,-0.10919162,-0.115160555,0.07710186,-0.109214075,-0.11497602,0.0770562,-0.10924928
-0.11498483,0.077069424,-0.10918097,-0.11508683,0.0770738,-0.10914397,-0.1152155,0.07702492,-0.109234095,-0.115205504,0.07704579,-0.10925855
-0.11515331,0.07706829,-0.10927549,-0.115243465,0.077039875,-0.10931335,-0.115122326,0.07701013,-0.10922931,-0.11501909,0.07696514,-0.1092231
-0.11514321,0.07712939,-0.10921995,-0.11505909,0.07695516,-0.10922255,-0.11493441,0.07704629,-0.109154455,-0.11508814,0.07696715,-0.10922596
-0.11502126,0.07715402,-0.10914377,-0.11512449,0.077081844,-0.109276816,-0.11519314,0.07705948,-0.10927065,-0.11518836,0.077037506,-0.10924927
-0.11508157,0.07693412,-0.10923837,-0.115147464,0.07710085,-0.10926359,-0.11499303,0.07706529,-0.10913892,-0.11515759,0.077160686,-0.10926872
-0.115159884,0.07711161,-0.10925496,-0.114979,0.077049546,-0.10915013,-0.11509438,0.07692362,-0.10922333,-0.11495516,0.07713693,-0.10912988
-0.11517919,0.07706835,-0.109246016,-0.11505625,0.07692713,-0.109239206,-0.11505948,0.07712803,-0.10918018,-0.115012065,0.07713458,-0.109124795
-0.11507242,0.07690964,-0.10924169,-0.11505751,0.07695816,-0.10922177,-0.114995666,0.07714323,-0.10913041,-0.11495259,0.077056445,-0.10915514
-0.11508206,0.076943554,-0.109238066,-0.11500211,0.07698619,-0.10923015,-0.115129404,0.07700708,-0.10922992,-0.115214914,0.07701439,-0.10924029
-0.11508639,0.07713058,-0.10915138,-0.114968896,0.077145465,-0.109129295,-0.11492947,0.077084154,-0.10921787,-0.11497547,0.077018335,-0.10913849
-0.11517996,0.07705745,-0.10925448,-0.11494158,0.07706795,-0.10911709,-0.11503041,0.0770212,-0.109242484,-0.1151469,0.077107616,-0.10923409
-0.11503985,0.07704931,-0.109226175,-0.114986226,0.07697682,-0.10919445,-0.11517902,0.07707612,-0.10927241,-0.115168594,0.07709403,-0.10922127
-0.11513287,0.07707443,-0.10919553,-0.11514855,0.07708674,-0.10925438,-0.11511803,0.07691618,-0.10919224,-0.11513609,0.0771402,-0.109245256
-0.11503814,0.0770451,-0.10923066,-0.11493901,0.077029996,-0.10914738,-0.114999354,0.07702261,-0.10913862,-0.1150987,0.07686527,-0.109194845
-0.115176484,0.077039324,-0.109239794,-0.11496065,0.077062085,-0.10912098,-0.11519069,0.07705513,-0.10922499,-0.11513562,0.07704628,-0.109224066
-0.115048826,0.07704665,-0.10922011,-0.11495989,0.07709179,-0.109126344,-0.11516482,0.0770694,-0.10924254,-0.11496929,0.077046186,-0.10914034
